id,time_seconds,timestamp,time_slug,kind,source_frame,analysis_frame,analysis_bbox_xyxy,state_changed_area_ratio,state_mean_absdiff,motion_changed_area_ratio,motion_mean_absdiff,full_image,detail_crop,detail_bbox_xyxy,source_chunk,source_full_image,source_detail_crop,global_event_id
E00308,727.8,00:12:07.800,00h12m07s800ms,stable_change,18195,3639,"100,89,204,126",0.055469,4.0006,0.0,0.0,event_frames_full/E00308_00h12m07s800ms_stable_change.jpg,event_crops/E00308_00h12m07s800ms_stable_change_DETAIL.jpg,"550,505,1274,787",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00308_00h12m07s800ms_stable_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00308_00h12m07s800ms_stable_change_DETAIL.jpg,GE00308
E00309,728.4,00:12:08.400,00h12m08s400ms,stable_change,18210,3642,"100,77,206,126",0.058237,3.9964,0.0,0.0065,event_frames_full/E00309_00h12m08s400ms_stable_change.jpg,event_crops/E00309_00h12m08s400ms_stable_change_DETAIL.jpg,"550,433,1286,787",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00309_00h12m08s400ms_stable_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00309_00h12m08s400ms_stable_change_DETAIL.jpg,GE00309
E00310,731.0,00:12:11.000,00h12m11s000ms,abrupt_change,18275,3655,"0,0,318,111",0.787879,96.4055,0.787879,96.3013,event_frames_full/E00310_00h12m11s000ms_abrupt_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00310_00h12m11s000ms_abrupt_change.jpg,,GE00310
E00311,731.6,00:12:11.600,00h12m11s600ms,stable_change,18290,3658,"0,0,320,111",0.788103,96.4967,0.000469,0.0209,event_frames_full/E00311_00h12m11s600ms_stable_change.jpg,,,chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00311_00h12m11s600ms_stable_change.jpg,,GE00311
E00312,733.0,00:12:13.000,00h12m13s000ms,motion_progress,18325,3665,"39,44,268,91",0.015938,1.347,0.014866,1.2337,event_frames_full/E00312_00h12m13s000ms_motion_progress.jpg,event_crops/E00312_00h12m13s000ms_motion_progress_DETAIL.jpg,"184,234,1658,577",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00312_00h12m13s000ms_motion_progress.jpg,event_chunks_5fps/chunk_01/event_crops/E00312_00h12m13s000ms_motion_progress_DETAIL.jpg,GE00312
E00313,733.8,00:12:13.800,00h12m13s800ms,settled,18345,3669,"39,63,268,91",0.012098,1.0989,0.0,0.0,event_frames_full/E00313_00h12m13s800ms_settled.jpg,event_crops/E00313_00h12m13s800ms_settled_DETAIL.jpg,"184,348,1658,577",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00313_00h12m13s800ms_settled.jpg,event_chunks_5fps/chunk_01/event_crops/E00313_00h12m13s800ms_settled_DETAIL.jpg,GE00313
E00314,734.8,00:12:14.800,00h12m14s800ms,motion_progress,18370,3674,"36,73,100,125",0.020313,1.4654,0.020045,1.44,event_frames_full/E00314_00h12m14s800ms_motion_progress.jpg,event_crops/E00314_00h12m14s800ms_motion_progress_DETAIL.jpg,"166,409,650,781",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00314_00h12m14s800ms_motion_progress.jpg,event_chunks_5fps/chunk_01/event_crops/E00314_00h12m14s800ms_motion_progress_DETAIL.jpg,GE00314
E00315,735.8,00:12:15.800,00h12m15s800ms,stable_change,18395,3679,"36,82,97,109",0.025737,1.6969,0.000268,0.0161,event_frames_full/E00315_00h12m15s800ms_stable_change.jpg,event_crops/E00315_00h12m15s800ms_stable_change_DETAIL.jpg,"166,463,632,685",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00315_00h12m15s800ms_stable_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00315_00h12m15s800ms_stable_change_DETAIL.jpg,GE00315
E00316,736.4,00:12:16.400,00h12m16s400ms,stable_change,18410,3682,"36,97,97,114",0.023058,1.6446,0.0,0.0,event_frames_full/E00316_00h12m16s400ms_stable_change.jpg,event_crops/E00316_00h12m16s400ms_stable_change_DETAIL.jpg,"166,553,632,715",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00316_00h12m16s400ms_stable_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00316_00h12m16s400ms_stable_change_DETAIL.jpg,GE00316
E00317,736.8,00:12:16.800,00h12m16s800ms,abrupt_change,18420,3684,"36,70,121,125",0.033281,1.7658,0.99375,122.9797,event_frames_full/E00317_00h12m16s800ms_abrupt_change.jpg,event_crops/E00317_00h12m16s800ms_abrupt_change_DETAIL.jpg,"166,391,776,781",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00317_00h12m16s800ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00317_00h12m16s800ms_abrupt_change_DETAIL.jpg,GE00317
E00318,738.6,00:12:18.600,00h12m18s600ms,abrupt_change,18465,3693,"100,74,206,125",0.041406,2.4748,0.041138,2.4528,event_frames_full/E00318_00h12m18s600ms_abrupt_change.jpg,event_crops/E00318_00h12m18s600ms_abrupt_change_DETAIL.jpg,"550,415,1286,781",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00318_00h12m18s600ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00318_00h12m18s600ms_abrupt_change_DETAIL.jpg,GE00318
E00319,740.8,00:12:20.800,00h12m20s800ms,abrupt_change,18520,3704,"36,71,206,125",0.060781,3.7942,0.060915,3.7126,event_frames_full/E00319_00h12m20s800ms_abrupt_change.jpg,event_crops/E00319_00h12m20s800ms_abrupt_change_DETAIL.jpg,"166,397,1286,781",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00319_00h12m20s800ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00319_00h12m20s800ms_abrupt_change_DETAIL.jpg,GE00319
E00320,742.6,00:12:22.600,00h12m22s600ms,motion_progress,18565,3713,"36,71,100,118",0.025469,1.7696,0.025357,1.7525,event_frames_full/E00320_00h12m22s600ms_motion_progress.jpg,event_crops/E00320_00h12m22s600ms_motion_progress_DETAIL.jpg,"166,397,650,739",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00320_00h12m22s600ms_motion_progress.jpg,event_chunks_5fps/chunk_01/event_crops/E00320_00h12m22s600ms_motion_progress_DETAIL.jpg,GE00320
E00321,743.0,00:12:23.000,00h12m23s000ms,abrupt_change,18575,3715,"36,77,100,125",0.031763,2.1498,0.031763,2.1498,event_frames_full/E00321_00h12m23s000ms_abrupt_change.jpg,event_crops/E00321_00h12m23s000ms_abrupt_change_DETAIL.jpg,"166,433,650,781",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00321_00h12m23s000ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00321_00h12m23s000ms_abrupt_change_DETAIL.jpg,GE00321
E00322,743.6,00:12:23.600,00h12m23s600ms,stable_change,18590,3718,"36,82,100,103",0.017768,1.1898,0.0,0.0044,event_frames_full/E00322_00h12m23s600ms_stable_change.jpg,event_crops/E00322_00h12m23s600ms_stable_change_DETAIL.jpg,"166,463,650,649",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00322_00h12m23s600ms_stable_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00322_00h12m23s600ms_stable_change_DETAIL.jpg,GE00322
E00323,744.6,00:12:24.600,00h12m24s600ms,stable_change,18615,3723,"36,82,100,103",0.01779,1.1927,0.0,0.0,event_frames_full/E00323_00h12m24s600ms_stable_change.jpg,event_crops/E00323_00h12m24s600ms_stable_change_DETAIL.jpg,"166,463,650,649",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00323_00h12m24s600ms_stable_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00323_00h12m24s600ms_stable_change_DETAIL.jpg,GE00323
E00324,746.6,00:12:26.600,00h12m26s600ms,abrupt_change,18665,3733,"36,77,100,125",0.031853,2.1551,0.031853,2.155,event_frames_full/E00324_00h12m26s600ms_abrupt_change.jpg,event_crops/E00324_00h12m26s600ms_abrupt_change_DETAIL.jpg,"166,433,650,781",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00324_00h12m26s600ms_abrupt_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00324_00h12m26s600ms_abrupt_change_DETAIL.jpg,GE00324
E00325,747.2,00:12:27.200,00h12m27s200ms,stable_change,18680,3736,"36,77,100,118",0.025335,1.7531,0.0,0.0,event_frames_full/E00325_00h12m27s200ms_stable_change.jpg,event_crops/E00325_00h12m27s200ms_stable_change_DETAIL.jpg,"166,433,650,739",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00325_00h12m27s200ms_stable_change.jpg,event_chunks_5fps/chunk_01/event_crops/E00325_00h12m27s200ms_stable_change_DETAIL.jpg,GE00325
E00326,753.8,00:12:33.800,00h12m33s800ms,motion_progress,18845,3769,"36,77,100,118",0.025313,1.7677,0.025424,1.756,event_frames_full/E00326_00h12m33s800ms_motion_progress.jpg,event_crops/E00326_00h12m33s800ms_motion_progress_DETAIL.jpg,"166,433,650,739",chunk_01,event_chunks_5fps/chunk_01/event_frames_full/E00326_00h12m33s800ms_motion_progress.jpg,event_chunks_5fps/chunk_01/event_crops/E00326_00h12m33s800ms_motion_progress_DETAIL.jpg,GE00326
